,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,193,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
15,193,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16,193,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
17,193,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
18,193,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
19,193,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
20,193,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,193,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
22,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,193,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
27,193,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
28,193,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,193,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
30,193,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
31,193,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
32,193,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
33,193,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
34,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
